Station,Direction,params,mean_test_score,rank_test_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,RMSE
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",-1429.1218338811555,1,absolute_error,10,1,10,1429.1218338811555
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",-1429.9126864707555,2,absolute_error,10,4,10,1429.9126864707555
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 2}",-1431.428461340585,3,absolute_error,30,4,2,1431.428461340585
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5}",-1431.428461340585,3,absolute_error,20,4,5,1431.428461340585
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",-1431.428461340585,3,absolute_error,,4,5,1431.428461340585
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",-1431.428461340585,3,absolute_error,,4,2,1431.428461340585
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 5}",-1431.428461340585,3,absolute_error,30,4,5,1431.428461340585
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2}",-1431.428461340585,3,absolute_error,20,4,2,1431.428461340585
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",-1433.9407666947604,9,absolute_error,10,4,2,1433.9407666947604
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",-1433.9407666947604,9,absolute_error,10,4,5,1433.9407666947604
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5}",-1435.3824637316764,11,squared_error,20,4,5,1435.3824637316764
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",-1435.3824637316764,11,squared_error,,4,5,1435.3824637316764
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 2}",-1435.3824637316764,11,squared_error,30,4,2,1435.3824637316764
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2}",-1435.3824637316764,11,squared_error,20,4,2,1435.3824637316764
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 5}",-1435.3824637316764,11,squared_error,30,4,5,1435.3824637316764
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",-1435.3824637316764,11,squared_error,,4,2,1435.3824637316764
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10}",-1437.000327052945,17,absolute_error,20,4,10,1437.000327052945
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",-1437.000327052945,17,absolute_error,,4,10,1437.000327052945
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 10}",-1437.000327052945,17,absolute_error,30,4,10,1437.000327052945
