batch_size,epochs,learning_rate,units,Station,Direction,CV_RMSE_Scaled
16,50,0.01,32,Suvarnabhumi,Arrival,0.9411985635413157
16,50,0.01,64,Suvarnabhumi,Arrival,1.0354113880848053
16,50,0.01,128,Suvarnabhumi,Arrival,1.1501175931765515
16,50,0.001,32,Suvarnabhumi,Arrival,0.7455986757083842
16,50,0.001,64,Suvarnabhumi,Arrival,0.7429013190176769
16,50,0.001,128,Suvarnabhumi,Arrival,0.7554450787596321
16,100,0.01,32,Suvarnabhumi,Arrival,1.0363224161600997
16,100,0.01,64,Suvarnabhumi,Arrival,1.1357599847412256
16,100,0.01,128,Suvarnabhumi,Arrival,1.2302603187993855
16,100,0.001,32,Suvarnabhumi,Arrival,0.7369053249967102
16,100,0.001,64,Suvarnabhumi,Arrival,0.7615052706556548
16,100,0.001,128,Suvarnabhumi,Arrival,0.8059216593666068
16,200,0.01,32,Suvarnabhumi,Arrival,1.0909729852488148
16,200,0.01,64,Suvarnabhumi,Arrival,1.1707637643555324
16,200,0.01,128,Suvarnabhumi,Arrival,1.302300121043389
16,200,0.001,32,Suvarnabhumi,Arrival,0.7635569183223785
16,200,0.001,64,Suvarnabhumi,Arrival,0.802164290977842
16,200,0.001,128,Suvarnabhumi,Arrival,0.8957054788211728
32,50,0.01,32,Suvarnabhumi,Arrival,1.0283056321371637
32,50,0.01,64,Suvarnabhumi,Arrival,0.9960891307277101
32,50,0.01,128,Suvarnabhumi,Arrival,0.9440850602684279
32,50,0.001,32,Suvarnabhumi,Arrival,0.7834233402080258
32,50,0.001,64,Suvarnabhumi,Arrival,0.7716378447744331
32,50,0.001,128,Suvarnabhumi,Arrival,0.7510449931823956
32,100,0.01,32,Suvarnabhumi,Arrival,1.1148347817946174
32,100,0.01,64,Suvarnabhumi,Arrival,1.0244489848889278
32,100,0.01,128,Suvarnabhumi,Arrival,1.0709171809097688
32,100,0.001,32,Suvarnabhumi,Arrival,0.7425336700024104
32,100,0.001,64,Suvarnabhumi,Arrival,0.763340836334172
32,100,0.001,128,Suvarnabhumi,Arrival,0.765374341613311
32,200,0.01,32,Suvarnabhumi,Arrival,1.1863667590139773
32,200,0.01,64,Suvarnabhumi,Arrival,1.1117510094046126
32,200,0.01,128,Suvarnabhumi,Arrival,1.181786376286534
32,200,0.001,32,Suvarnabhumi,Arrival,0.7636869121674067
32,200,0.001,64,Suvarnabhumi,Arrival,0.8345457612734508
32,200,0.001,128,Suvarnabhumi,Arrival,0.8424313717254291
64,50,0.01,32,Suvarnabhumi,Arrival,0.9803929951961354
64,50,0.01,64,Suvarnabhumi,Arrival,0.911701707063408
64,50,0.01,128,Suvarnabhumi,Arrival,0.9123312712992261
64,50,0.001,32,Suvarnabhumi,Arrival,0.8378425228996197
64,50,0.001,64,Suvarnabhumi,Arrival,0.811086113535371
64,50,0.001,128,Suvarnabhumi,Arrival,0.7996059095597521
64,100,0.01,32,Suvarnabhumi,Arrival,1.0406165538044898
64,100,0.01,64,Suvarnabhumi,Arrival,0.915679828272104
64,100,0.01,128,Suvarnabhumi,Arrival,0.9696787663512261
64,100,0.001,32,Suvarnabhumi,Arrival,0.7814569948856626
64,100,0.001,64,Suvarnabhumi,Arrival,0.7842451506303613
64,100,0.001,128,Suvarnabhumi,Arrival,0.7754888533940528
64,200,0.01,32,Suvarnabhumi,Arrival,1.090331196021834
64,200,0.01,64,Suvarnabhumi,Arrival,0.9097215589366057
64,200,0.01,128,Suvarnabhumi,Arrival,1.0742053241470026
64,200,0.001,32,Suvarnabhumi,Arrival,0.7702893519113417
64,200,0.001,64,Suvarnabhumi,Arrival,0.8600844160699311
