Station,Direction,units,batch_size,epochs,learning_rate,RMSE,MAE,MAPE
Suvarnabhumi,Arrival,32,16,100,0.001,569.9385261787552,426.54427794166236,0.030649443157981137
Suvarnabhumi,Departure,32,32,100,0.001,558.368458716093,423.61336721752,0.035118270702346154
Makkasan,Arrival,64,16,100,0.001,1158.4049970128503,757.2684111802474,0.06916400461951137
Makkasan,Departure,64,16,100,0.001,1298.1915183022763,782.8620305393054,0.06571952738838183
Ladkrabang,Arrival,32,16,100,0.001,998.7487752397371,664.1133031658504,0.06852857117085914
Ladkrabang,Departure,32,16,200,0.001,924.1960741133001,644.1687989981278,0.06734105456546659
Banthapchang,Arrival,32,64,100,0.01,479.2996684400464,268.86475191116335,0.0911187051592138
Banthapchang,Departure,32,16,50,0.01,501.4742129364504,307.7496500232945,0.10834828466029447
Huamak,Arrival,32,64,50,0.01,701.970283467439,460.50910799192343,0.07621340100587032
Huamak,Departure,64,16,100,0.001,636.9487674213052,415.86592790147535,0.06825331864284745
