Station,Direction,n_estimators,criterion,max_depth,min_samples_leaf,min_samples_split,RMSE,MAE,MAPE
Suvarnabhumi,Arrival,50,squared_error,10,1,2,871.574293475913,627.3309054425602,0.04345283951047799
Suvarnabhumi,Departure,50,squared_error,10,1,5,675.7547118900405,464.6795875014521,0.03734266197834768
Makkasan,Arrival,50,poisson,10,2,5,847.5094691516969,583.6436909427649,0.05204254655095757
Makkasan,Departure,100,poisson,10,1,5,983.4191454873419,659.8827642887123,0.0538453999923116
Ladkrabang,Arrival,50,squared_error,20,1,5,581.3296982515241,408.8418883250405,0.041142760079227264
Ladkrabang,Departure,50,squared_error,10,2,5,565.3363994379182,387.90489459791394,0.04040124365685364
Banthapchang,Arrival,200,poisson,10,2,5,269.1806391298819,208.78829666426935,0.06571743585032845
Banthapchang,Departure,50,poisson,10,2,2,318.79751904227993,246.1353177697048,0.07505479852188685
Huamak,Arrival,50,squared_error,20,1,2,642.3584275922315,514.7369824016563,0.08116829327905807
Huamak,Departure,200,squared_error,10,1,2,645.7880847443986,518.8972837509062,0.08407756508926122
