batch_size,epochs,learning_rate,units,Station,Direction,CV_RMSE_Scaled
16,50,0.01,32,Suvarnabhumi,Arrival,1.3264579972154176
16,50,0.01,64,Suvarnabhumi,Arrival,1.1813319833856888
16,50,0.01,128,Suvarnabhumi,Arrival,1.695541554147743
16,50,0.001,32,Suvarnabhumi,Arrival,0.7745824171600377
16,50,0.001,64,Suvarnabhumi,Arrival,0.7267686607762717
16,50,0.001,128,Suvarnabhumi,Arrival,0.8198224195225271
16,100,0.01,32,Suvarnabhumi,Arrival,1.4281151504273686
16,100,0.01,64,Suvarnabhumi,Arrival,1.2528067425294596
16,100,0.01,128,Suvarnabhumi,Arrival,1.7566897854333552
16,100,0.001,32,Suvarnabhumi,Arrival,0.8458967253878878
16,100,0.001,64,Suvarnabhumi,Arrival,0.7289188391251091
16,100,0.001,128,Suvarnabhumi,Arrival,0.9833215807975041
16,200,0.01,32,Suvarnabhumi,Arrival,1.6013482567982817
16,200,0.01,64,Suvarnabhumi,Arrival,1.3701205710247593
16,200,0.01,128,Suvarnabhumi,Arrival,2.008999939669287
16,200,0.001,32,Suvarnabhumi,Arrival,0.9712098236643092
16,200,0.001,64,Suvarnabhumi,Arrival,0.779567093898533
16,200,0.001,128,Suvarnabhumi,Arrival,1.1582919897185862
32,50,0.01,32,Suvarnabhumi,Arrival,1.1590075713486099
32,50,0.01,64,Suvarnabhumi,Arrival,1.0368563466970808
32,50,0.01,128,Suvarnabhumi,Arrival,1.4634674104233911
32,50,0.001,32,Suvarnabhumi,Arrival,0.8063267919356566
32,50,0.001,64,Suvarnabhumi,Arrival,0.7754938895557882
32,50,0.001,128,Suvarnabhumi,Arrival,0.8118450175824786
32,100,0.01,32,Suvarnabhumi,Arrival,1.5804457901614377
32,100,0.01,64,Suvarnabhumi,Arrival,1.3397238065957067
32,100,0.01,128,Suvarnabhumi,Arrival,1.6214548867924752
32,100,0.001,32,Suvarnabhumi,Arrival,0.7836365859232902
32,100,0.001,64,Suvarnabhumi,Arrival,0.7454717737450852
