Station,Direction,units,batch_size,epochs,learning_rate,RMSE,MAE,MAPE
Suvarnabhumi,Arrival,64,16,50,0.001,546.18523464446,413.39900670258896,0.029639528130973657
Suvarnabhumi,Departure,64,32,100,0.001,551.4302945400116,414.7132675419683,0.03444783975329346
Makkasan,Arrival,32,64,200,0.001,1191.0396285016352,797.6065198566603,0.07351771902043557
Makkasan,Departure,128,16,50,0.001,1354.238050870382,869.6865767997244,0.07370772252926582
Ladkrabang,Arrival,64,64,200,0.001,956.8827303183074,628.166103008519,0.06409712224872247
Ladkrabang,Departure,64,16,100,0.001,874.2363025363888,620.4150112836257,0.06515410475931938
Banthapchang,Arrival,64,16,200,0.001,450.14770618233314,270.5523561405099,0.08733360772684731
Banthapchang,Departure,32,16,100,0.001,447.13710422614366,285.2674566165261,0.0897209581574463
Huamak,Arrival,32,64,50,0.01,692.0689429575709,468.21707960833675,0.07758592931168824
Huamak,Departure,128,16,100,0.001,658.6776802999184,434.2773291007332,0.07320901291189177
