Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,Passenger_Arrival_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-08,Banthapchang,Train,-1.6266981438595425,-2.0384774667328207,-2.4339146715354474,-2.356428483387835,-1.4081098771781826,0.0
2022-01-09,Banthapchang,Train,-1.9186198729940598,-1.9969754767712522,-2.3334274310895475,-2.2600055305282094,-1.6885943728422776,0.0
2022-01-10,Banthapchang,Train,-0.9897780075660502,-1.885016620130742,-2.309349803794442,-2.2531531379392002,-1.715969942095535,1.0
2022-01-11,Banthapchang,Train,-0.9986241205701264,-0.9439831268161081,-2.068082150694507,-2.0211507031398988,-2.0703863347407268,1.0
2022-01-12,Banthapchang,Train,-1.0595640101537631,-0.8995856491828023,-2.069801981215586,-2.033387118477415,-2.0885444978387833,1.0
2022-01-13,Banthapchang,Train,-1.104777476619042,-0.8493971962060217,-2.092651158138492,-2.072543647557466,-2.150192164422469,1.0
2022-01-14,Banthapchang,Train,-0.965205471443616,-0.896690161511065,-2.138595202058745,-2.1405781168340545,-2.286940186520614,1.0
2022-01-15,Banthapchang,Train,-1.706313160896229,-1.6437259808192974,-2.150142635557418,-2.1432701282083078,-2.293214553969857,0.0
2022-01-16,Banthapchang,Train,-1.9078079571001887,-1.902389546161166,-2.1599702385350117,-2.1630931210550837,-2.223849384433311,0.0
2022-01-17,Banthapchang,Train,-0.9563593584395398,-0.9372269889153876,-2.1523538462273764,-2.16040110968083,-2.2384334197802542,1.0
2022-01-18,Banthapchang,Train,-0.9396500338762845,-0.9507392647168285,-2.1405607226542633,-2.152080347251319,-2.22001574691378,1.0
2022-01-19,Banthapchang,Train,-0.9337526252069004,-0.9893457670066597,-2.136629681463226,-2.1373966488463,-2.188260426484155,1.0
2022-01-20,Banthapchang,Train,-0.9317868223171056,-1.0298825944109824,-2.114517574763639,-2.1060714255822592,-2.132067552086874,1.0
2022-01-21,Banthapchang,Train,-0.9612738656640266,-0.9420528017016165,-2.081840794863139,-2.062999243594203,-2.0711706229295426,1.0
2022-01-22,Banthapchang,Train,-1.652253581426874,-1.6823324831091284,-2.0688192209178267,-2.062020330367202,-2.069496743472636,0.0
2022-01-23,Banthapchang,Train,-1.8743893079736782,-1.872469506886547,-2.056043337046954,-2.0485602734959345,-2.119775089481411,0.0
2022-01-24,Banthapchang,Train,-0.9209749064232347,-0.8908991861675902,-2.0503924653348378,-2.0402395110664235,-2.16573493412496,1.0
2022-01-25,Banthapchang,Train,-0.9327697237620031,-0.935296663800896,-2.0518666057814765,-2.0314292920234123,-2.149351034758768,1.0
2022-01-26,Banthapchang,Train,-0.8787101442926479,-0.9024811368545396,-2.0405648623572437,-2.02971619387616,-2.1461887923543346,1.0
2022-01-27,Banthapchang,Train,-0.9013168775252873,-0.9015159742972938,-2.0172243052854575,-2.016011408698142,-2.1183814613579126,1.0
2022-01-28,Banthapchang,Train,-0.8924707645212111,-0.8908991861675902,-2.0147674045410593,-2.0084248311888824,-2.104105539401461,1.0
2022-01-29,Banthapchang,Train,-1.5510147326024453,-1.632144030132348,-1.9943751283625513,-1.99129384971636,-2.07448071798296,0.0
2022-01-30,Banthapchang,Train,-1.814432319834939,-1.850270768069894,-1.9845475253849572,-1.9660868341210773,-2.163268476993893,0.0
2022-01-31,Banthapchang,Train,-0.9298210194273109,-0.896690161511065,-1.973245781960724,-1.9511584074093078,-2.2487956269548723,1.0
2022-02-01,Banthapchang,Train,-0.8649495240640849,-0.8908991861675902,-1.9705431911418856,-1.9533609621700607,-2.2524697609499125,1.0
2022-02-02,Banthapchang,Train,-0.7617448723498615,-0.8107906939161906,-1.9550647164521748,-1.9364747090042886,-2.221428280954265,1.0
2022-02-03,Banthapchang,Train,-0.689993066872354,-0.891864348724836,-1.9214051762539153,-1.9073520405010007,-2.1541051485843274,1.0
2022-02-04,Banthapchang,Train,-0.6555915163009461,-0.8107906939161906,-1.8604740377928317,-1.8547354545496826,-2.037622003111468,1.0
2022-02-05,Banthapchang,Train,-1.4969551531330902,-1.593537527842517,-1.808387742011583,-1.7957559326228556,-1.9187172827836219,0.0
2022-02-06,Banthapchang,Train,-1.819346827059426,-1.8058732904365882,-1.7712885407711652,-1.782295875751588,-1.965185352085743,0.0
2022-02-07,Banthapchang,Train,-0.7391381391172221,-0.8860733733813614,-1.7695687102500863,-1.7835195172853398,-1.9583405144380461,1.0
2022-02-08,Banthapchang,Train,-0.703753687100917,-0.8300939450611062,-1.7309953685630295,-1.736042225775778,-1.8974445035562861,1.0
2022-02-09,Banthapchang,Train,-0.7804199998029115,-0.678563423573519,-1.693650477248172,-1.695906783468726,-1.8404891272877104,1.0
2022-02-10,Banthapchang,Train,-0.7725567882437325,-0.652504034527883,-1.6931590970992922,-1.700556621296982,-1.8471106092126532,1.0
2022-02-11,Banthapchang,Train,-0.711616898660096,-0.6061762317800856,-1.7047065305979654,-1.7211137990640089,-1.8832486384404317,1.0
2022-02-12,Banthapchang,Train,-1.5726385643901875,-1.4477979816984043,-1.7160082740221985,-1.7350633125487769,-1.9136931772353787,0.0
2022-02-13,Banthapchang,Train,-1.8026375024961707,-1.7991171525358678,-1.7430341822105824,-1.7539073921685515,-1.845771346427225,0.0
2022-02-14,Banthapchang,Train,-0.6968733769866355,-0.7345428518937741,-1.7484393638482592,-1.7497470109537958,-1.868290065790259,1.0
2022-02-15,Banthapchang,Train,-0.689993066872354,-0.6833892363597479,-1.7327151990841085,-1.7392236937635321,-1.8475248683154486,1.0
2022-02-16,Banthapchang,Train,-1.730885697018663,-0.6766330984590274,-1.7346807196796272,-1.7357974974690278,-1.8404102301104859,0.0
2022-02-17,Banthapchang,Train,-0.8236676633783956,-0.6978666747184346,-1.993146677990352,-1.9724497700965853,-1.5642571960599017,1.0
