Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Arrival_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2022-01-08,Banthapchang,Train,1068.0,659.0,1363.4285714285713,1339.4285714285713,573.784761370457,0.0
2022-01-09,Banthapchang,Train,771.0,702.0,1421.857142857143,1395.7142857142858,513.8215365558078,0.0
2022-01-10,Banthapchang,Train,1716.0,818.0,1435.857142857143,1399.7142857142858,507.96906542482617,1.0
2022-01-11,Banthapchang,Train,1707.0,1793.0,1576.142857142857,1535.142857142857,432.2003503667515,1.0
2022-01-12,Banthapchang,Train,1645.0,1839.0,1575.142857142857,1528.0,428.31841737971826,1.0
2022-01-13,Banthapchang,Train,1599.0,1891.0,1561.857142857143,1505.142857142857,415.1391046269624,1.0
2022-01-14,Banthapchang,Train,1741.0,1842.0,1535.142857142857,1465.4285714285713,385.9045033609812,1.0
2022-01-15,Banthapchang,Train,987.0,1068.0,1528.4285714285713,1463.857142857143,384.5631411404496,0.0
2022-01-16,Banthapchang,Train,782.0,800.0,1522.7142857142858,1452.2857142857142,399.3923360497018,0.0
2022-01-17,Banthapchang,Train,1750.0,1800.0,1527.142857142857,1453.857142857143,396.27449601315,1.0
2022-01-18,Banthapchang,Train,1767.0,1786.0,1534.0,1458.7142857142858,400.2119081543817,1.0
2022-01-19,Banthapchang,Train,1773.0,1746.0,1536.2857142857142,1467.2857142857142,407.0007020000964,1.0
2022-01-20,Banthapchang,Train,1775.0,1704.0,1549.142857142857,1485.5714285714287,419.0138649825551,1.0
2022-01-21,Banthapchang,Train,1745.0,1795.0,1568.142857142857,1510.7142857142858,432.0326817443769,1.0
2022-01-22,Banthapchang,Train,1042.0,1028.0,1575.7142857142858,1511.2857142857142,432.39053115045357,0.0
2022-01-23,Banthapchang,Train,816.0,831.0,1583.142857142857,1519.142857142857,421.6418023913301,0.0
2022-01-24,Banthapchang,Train,1786.0,1848.0,1586.4285714285713,1524.0,411.81630208949554,1.0
2022-01-25,Banthapchang,Train,1774.0,1802.0,1585.5714285714287,1529.142857142857,415.31892507302086,1.0
2022-01-26,Banthapchang,Train,1829.0,1836.0,1592.142857142857,1530.142857142857,415.99496333947303,1.0
2022-01-27,Banthapchang,Train,1806.0,1837.0,1605.7142857142858,1538.142857142857,421.93973841905773,1.0
2022-01-28,Banthapchang,Train,1815.0,1848.0,1607.142857142857,1542.5714285714287,424.99170860259426,1.0
2022-01-29,Banthapchang,Train,1145.0,1080.0,1619.0,1552.5714285714287,431.3250348800609,0.0
2022-01-30,Banthapchang,Train,877.0,854.0,1624.7142857142858,1567.2857142857142,412.3435922810468,0.0
2022-01-31,Banthapchang,Train,1777.0,1842.0,1631.2857142857142,1576.0,394.0592172081079,1.0
2022-02-01,Banthapchang,Train,1843.0,1848.0,1632.857142857143,1574.7142857142858,393.2737444773528,1.0
2022-02-02,Banthapchang,Train,1948.0,1931.0,1641.857142857143,1584.5714285714287,399.90993033551007,1.0
2022-02-03,Banthapchang,Train,2021.0,1847.0,1661.4285714285713,1601.5714285714287,414.3025694436607,1.0
2022-02-04,Banthapchang,Train,2056.0,1931.0,1696.857142857143,1632.2857142857142,439.2048551210529,1.0
2022-02-05,Banthapchang,Train,1200.0,1120.0,1727.142857142857,1666.7142857142858,464.62483585710146,0.0
2022-02-06,Banthapchang,Train,872.0,900.0,1748.7142857142858,1674.5714285714287,454.6906850240276,0.0
2022-02-07,Banthapchang,Train,1971.0,1853.0,1749.7142857142858,1673.857142857143,456.15400490456796,1.0
2022-02-08,Banthapchang,Train,2007.0,1911.0,1772.142857142857,1701.5714285714287,469.1726253533478,1.0
2022-02-09,Banthapchang,Train,1929.0,2068.0,1793.857142857143,1725.0,481.3487993821811,1.0
2022-02-10,Banthapchang,Train,1937.0,2095.0,1794.142857142857,1722.2857142857142,479.9332294829201,1.0
2022-02-11,Banthapchang,Train,1999.0,2143.0,1787.4285714285713,1710.2857142857142,472.207480628913,1.0
2022-02-12,Banthapchang,Train,1123.0,1271.0,1780.857142857143,1702.142857142857,465.69891151953175,0.0
2022-02-13,Banthapchang,Train,889.0,907.0,1765.142857142857,1691.142857142857,480.2195430465215,0.0
2022-02-14,Banthapchang,Train,2014.0,2010.0,1762.0,1693.5714285714287,475.4053909184099,1.0
2022-02-15,Banthapchang,Train,2021.0,2063.0,1771.142857142857,1699.7142857142858,479.84466732673525,1.0
2022-02-16,Banthapchang,Train,962.0,2070.0,1770.0,1701.7142857142858,481.3656663721512,0.0
2022-02-17,Banthapchang,Train,1885.0,2048.0,1619.7142857142858,1563.5714285714287,540.4028920299057,1.0
2022-02-18,Banthapchang,Train,2010.0,2097.0,1611.857142857143,1556.142857142857,534.74181576141,1.0
2022-02-19,Banthapchang,Train,1117.0,1161.0,1612.0,1557.7142857142858,536.2740948077811,0.0
2022-02-20,Banthapchang,Train,843.0,885.0,1605.7142857142858,1556.857142857143,537.0888903994164,0.0
2022-02-21,Banthapchang,Train,1961.0,2074.0,1602.2857142857142,1550.2857142857142,546.8155430263831,1.0
2022-02-22,Banthapchang,Train,1878.0,2055.0,1588.5714285714287,1542.7142857142858,539.6445479157908,1.0
2022-02-23,Banthapchang,Train,1925.0,1018.0,1575.2857142857142,1522.2857142857142,520.9023306678885,1.0
2022-02-24,Banthapchang,Train,1807.0,1993.0,1710.142857142857,1659.857142857143,473.25343054626666,1.0
2022-02-25,Banthapchang,Train,1855.0,2098.0,1697.857142857143,1648.7142857142858,467.95751740434577,1.0
2022-02-26,Banthapchang,Train,1017.0,1117.0,1678.0,1626.5714285714287,451.3866993841896,0.0
2022-02-27,Banthapchang,Train,789.0,861.0,1668.5714285714287,1612.2857142857142,471.3430153245494,0.0
2022-02-28,Banthapchang,Train,1843.0,1978.0,1657.142857142857,1604.5714285714287,486.2385755788538,1.0
2022-03-01,Banthapchang,Train,1828.0,1962.0,1648.0,1587.7142857142858,473.70620792699316,1.0
2022-03-02,Banthapchang,Train,1706.0,1962.0,1639.857142857143,1580.5714285714287,468.9526831649642,1.0
2022-03-03,Banthapchang,Train,1775.0,1907.0,1627.4285714285713,1549.2857142857142,449.02661921305383,1.0
2022-03-04,Banthapchang,Train,1757.0,1959.0,1616.7142857142858,1544.7142857142858,446.11908510535415,1.0
2022-03-05,Banthapchang,Train,1081.0,1051.0,1601.4285714285713,1530.7142857142858,436.1860131815762,0.0
2022-03-06,Banthapchang,Train,768.0,781.0,1608.2857142857142,1539.857142857143,424.12750778173177,0.0
2022-03-07,Banthapchang,Train,1743.0,1914.0,1613.857142857143,1536.857142857143,430.352347335463,1.0
2022-03-08,Banthapchang,Train,1745.0,1905.0,1601.0,1522.5714285714287,420.0320849422725,1.0
2022-03-09,Banthapchang,Train,1809.0,1875.0,1597.4285714285713,1510.7142857142858,411.0485430723539,1.0
2022-03-10,Banthapchang,Train,1791.0,1832.0,1600.0,1525.4285714285713,420.92907444637956,1.0
2022-03-11,Banthapchang,Train,1828.0,1852.0,1609.2857142857142,1527.7142857142858,422.55047599299286,1.0
2022-03-12,Banthapchang,Train,1043.0,1099.0,1623.857142857143,1537.857142857143,429.7621158158037,0.0
2022-03-13,Banthapchang,Train,885.0,820.0,1619.4285714285713,1532.4285714285713,436.67908015797957,0.0
2022-03-14,Banthapchang,Train,1788.0,1824.0,1617.142857142857,1549.142857142857,403.52382357238383,1.0
2022-03-15,Banthapchang,Train,1835.0,1880.0,1585.142857142857,1555.5714285714287,407.46609558050255,1.0
2022-03-16,Banthapchang,Train,1813.0,1893.0,1586.857142857143,1568.4285714285713,415.7747215110838,1.0
2022-03-17,Banthapchang,Train,1772.0,1897.0,1587.5714285714287,1569.0,416.16302895219667,1.0
2022-03-18,Banthapchang,Train,1870.0,1954.0,1587.142857142857,1566.2857142857142,414.53255372194633,1.0
2022-03-19,Banthapchang,Train,1131.0,1068.0,1592.5714285714287,1572.2857142857142,419.22933830451126,0.0
2022-03-20,Banthapchang,Train,888.0,804.0,1605.142857142857,1584.857142857143,401.6638016100154,0.0
2022-03-21,Banthapchang,Train,1860.0,1600.0,1616.142857142857,1585.2857142857142,400.7932610402006,1.0
2022-03-22,Banthapchang,Train,1811.0,1892.0,1664.857142857143,1595.5714285714287,407.72656570421395,1.0
2022-03-23,Banthapchang,Train,1851.0,1898.0,1660.5714285714287,1592.142857142857,405.47232892493395,1.0
2022-03-24,Banthapchang,Train,1864.0,1894.0,1664.4285714285713,1597.5714285714287,409.15964982830286,1.0
2022-03-25,Banthapchang,Train,1797.0,1992.0,1667.2857142857142,1610.7142857142858,417.09699682676353,1.0
2022-03-26,Banthapchang,Train,1142.0,1156.0,1654.857142857143,1600.2857142857142,410.39237902512895,0.0
2022-03-27,Banthapchang,Train,855.0,881.0,1657.0,1601.857142857143,408.3117389819653,0.0
2022-03-28,Banthapchang,Train,1880.0,1941.0,1660.0,1597.142857142857,418.00296193983667,1.0
2022-03-29,Banthapchang,Train,1968.0,1862.0,1661.7142857142858,1600.0,420.16187356779574,1.0
2022-03-30,Banthapchang,Train,1901.0,1925.0,1684.142857142857,1622.4285714285713,437.14942416480375,1.0
2022-03-31,Banthapchang,Train,1901.0,1914.0,1689.5714285714287,1629.5714285714287,441.8894496526096,1.0
2022-04-01,Banthapchang,Train,1915.0,1905.0,1702.4285714285713,1634.857142857143,445.3685472248162,1.0
2022-04-02,Banthapchang,Train,1188.0,1171.0,1724.2857142857142,1651.7142857142858,454.6646068938128,0.0
2022-04-03,Banthapchang,Train,877.0,902.0,1727.4285714285713,1658.2857142857142,446.3256338466031,0.0
2022-04-04,Banthapchang,Train,1796.0,1953.0,1732.142857142857,1661.4285714285713,439.75555980675557,1.0
2022-04-05,Banthapchang,Train,1991.0,2019.0,1731.5714285714287,1649.4285714285713,433.904312471025,1.0
2022-04-06,Banthapchang,Train,1114.0,1963.0,1735.7142857142858,1652.7142857142858,436.7961821741409,0.0
2022-04-07,Banthapchang,Train,1854.0,2004.0,1613.0,1540.2857142857142,462.7510901430396,1.0
2022-04-08,Banthapchang,Train,1944.0,2058.0,1608.7142857142858,1533.5714285714287,456.949616895509,1.0
2022-04-09,Banthapchang,Train,1038.0,1193.0,1614.142857142857,1537.7142857142858,461.0967773637528,0.0
2022-04-10,Banthapchang,Train,869.0,935.0,1597.142857142857,1516.2857142857142,483.02198510547953,0.0
2022-04-11,Banthapchang,Train,1660.0,1949.0,1585.7142857142858,1515.142857142857,484.792886557902,1.0
2022-04-12,Banthapchang,Train,1546.0,2048.0,1557.2857142857142,1495.7142857142858,474.2723248253455,1.0
2022-04-13,Banthapchang,Train,738.0,1104.0,1492.857142857143,1432.142857142857,423.97658291130017,0.0
2022-04-14,Banthapchang,Train,628.0,1974.0,1446.4285714285713,1378.4285714285713,489.7209603923632,0.0
2022-04-15,Banthapchang,Train,668.0,2096.0,1252.7142857142858,1203.2857142857142,510.09957011212083,0.0
2022-04-16,Banthapchang,Train,786.0,1074.0,1054.0,1021.0,421.6013124584235,0.0
2022-04-17,Banthapchang,Train,744.0,855.0,1008.8571428571429,985.0,430.57132587605633,0.0
2022-04-18,Banthapchang,Train,1786.0,1750.0,989.8571428571429,967.1428571428571,438.6993764038664,1.0
2022-04-19,Banthapchang,Train,1849.0,1597.0,1009.0,985.1428571428571,473.1016200111148,1.0
2022-04-20,Banthapchang,Train,1865.0,779.0,1042.7142857142858,1028.4285714285713,541.8369549175142,1.0
2022-04-21,Banthapchang,Train,1960.0,618.0,1227.2857142857142,1189.4285714285713,604.9214431485723,1.0
2022-04-22,Banthapchang,Train,1945.0,705.0,1424.5714285714287,1379.7142857142858,608.3717926525173,1.0
2022-04-23,Banthapchang,Train,1113.0,758.0,1614.5714285714287,1562.142857142857,547.8361764163408,0.0
2022-04-24,Banthapchang,Train,849.0,722.0,1675.5714285714287,1608.857142857143,480.4169815800397,0.0
2022-04-25,Banthapchang,Train,2020.0,1884.0,1698.7142857142858,1623.857142857143,449.5614264930614,1.0
2022-04-26,Banthapchang,Train,2080.0,1833.0,1726.2857142857142,1657.2857142857142,471.77844881035514,1.0
2022-04-27,Banthapchang,Train,2054.0,2071.0,1768.142857142857,1690.2857142857142,494.93424286657006,1.0
2022-04-28,Banthapchang,Train,2033.0,1999.0,1780.857142857143,1717.2857142857142,510.9500022134308,1.0
2022-04-29,Banthapchang,Train,2093.0,2035.0,1796.2857142857142,1727.7142857142858,517.4333175349634,1.0
2022-04-30,Banthapchang,Train,1184.0,1185.0,1833.5714285714287,1748.857142857143,530.6465956960525,0.0
2022-05-01,Banthapchang,Train,924.0,884.0,1835.857142857143,1759.0,516.969373689906,0.0
2022-05-02,Banthapchang,Train,1165.0,2077.0,1842.0,1769.7142857142858,495.28870849425294,1.0
2022-05-03,Banthapchang,Train,1938.0,2126.0,1711.142857142857,1647.5714285714287,527.6472486876238,1.0
2022-05-04,Banthapchang,Train,1212.0,2160.0,1689.857142857143,1627.2857142857142,510.70921742406887,0.0
2022-05-05,Banthapchang,Train,2168.0,2107.0,1552.4285714285713,1507.0,492.2804078977752,1.0
2022-05-06,Banthapchang,Train,2177.0,2296.0,1567.7142857142858,1526.2857142857142,518.2794337310437,1.0
2022-05-07,Banthapchang,Train,1242.0,1201.0,1568.142857142857,1538.2857142857142,534.3122415110582,0.0
2022-05-08,Banthapchang,Train,1036.0,927.0,1579.4285714285713,1546.5714285714287,528.3186718710773,0.0
2022-05-09,Banthapchang,Train,2163.0,1161.0,1592.7142857142858,1562.5714285714287,507.6120096894402,1.0
2022-05-10,Banthapchang,Train,2221.0,1977.0,1750.0,1705.142857142857,517.3948938581403,1.0
2022-05-11,Banthapchang,Train,2248.0,1198.0,1794.5714285714287,1745.5714285714287,548.7303093332393,1.0
2022-05-12,Banthapchang,Train,2271.0,2214.0,1951.0,1893.5714285714287,519.78163913412,1.0
2022-05-13,Banthapchang,Train,1953.0,2299.0,1968.857142857143,1908.2857142857142,530.1986150760596,0.0
2022-05-14,Banthapchang,Train,1218.0,1280.0,1946.2857142857142,1876.2857142857142,517.8943631944371,0.0
2022-05-15,Banthapchang,Train,945.0,1020.0,1940.5714285714287,1872.857142857143,522.8490631694227,0.0
2022-05-16,Banthapchang,Train,1004.0,2262.0,1935.0,1859.857142857143,547.666695649653,0.0
2022-05-17,Banthapchang,Train,2430.0,2289.0,1752.0,1694.2857142857142,612.1453297721912,1.0
2022-05-18,Banthapchang,Train,2525.0,2293.0,1782.5714285714287,1724.142857142857,646.2634727342063,1.0
2022-05-19,Banthapchang,Train,2602.0,2339.0,1823.0,1763.7142857142858,690.6426269028275,1.0
2022-05-20,Banthapchang,Train,2625.0,2141.0,1875.4285714285713,1811.0,740.6816680148992,1.0
2022-05-21,Banthapchang,Train,1373.0,1240.0,1957.5714285714287,1907.0,803.0749238603664,0.0
2022-05-22,Banthapchang,Train,1063.0,981.0,1965.857142857143,1929.142857142857,782.7918898769601,0.0
2022-05-23,Banthapchang,Train,2467.0,981.0,1984.142857142857,1946.0,758.9747470546478,1.0
2022-05-24,Banthapchang,Train,2595.0,2503.0,2218.5714285714284,2155.0,649.9443565926755,1.0
2022-05-25,Banthapchang,Train,2537.0,2576.0,2227.285714285714,2178.5714285714284,664.4109815324794,1.0
2022-05-26,Banthapchang,Train,2538.0,2706.0,2237.0,2180.285714285714,665.4684350855706,1.0
2022-05-27,Banthapchang,Train,2583.0,2716.0,2219.0,2171.1428571428573,659.1182060327341,1.0
2022-05-28,Banthapchang,Train,1480.0,1298.0,2230.285714285714,2165.1428571428573,654.472924973837,0.0
2022-05-29,Banthapchang,Train,1197.0,1109.0,2272.8571428571427,2180.4285714285716,633.8117115628946,0.0
2022-05-30,Banthapchang,Train,2571.0,2622.0,2291.1428571428573,2199.5714285714284,595.2903653240318,1.0
2022-05-31,Banthapchang,Train,2685.0,2564.0,2290.285714285714,2214.4285714285716,604.3067259658949,1.0
2022-06-01,Banthapchang,Train,2850.0,2644.0,2311.4285714285716,2227.285714285714,614.6225709831238,1.0
2022-06-02,Banthapchang,Train,2831.0,2580.0,2350.714285714286,2272.0,651.2065724484054,1.0
2022-06-03,Banthapchang,Train,1312.0,2795.0,2408.714285714286,2313.8571428571427,679.9363765753944,0.0
2022-06-04,Banthapchang,Train,1260.0,1596.0,2209.285714285714,2132.285714285714,760.9624857783101,0.0
2022-06-05,Banthapchang,Train,1095.0,1237.0,2166.1428571428573,2100.8571428571427,796.123405126665,0.0
2022-06-06,Banthapchang,Train,2902.0,2616.0,2174.285714285714,2086.285714285714,816.1065523336426,1.0
2022-06-07,Banthapchang,Train,2911.0,2712.0,2209.714285714286,2133.5714285714284,857.4156629357892,1.0
2022-06-08,Banthapchang,Train,2987.0,2919.0,2243.4285714285716,2165.8571428571427,885.4372608249231,1.0
2022-06-09,Banthapchang,Train,2879.0,2986.0,2257.714285714286,2185.4285714285716,904.3909289576894,1.0
2022-06-10,Banthapchang,Train,2961.0,1399.0,2244.714285714286,2192.285714285714,910.2643781315614,1.0
2022-06-11,Banthapchang,Train,1561.0,1294.0,2485.0,2427.8571428571427,856.2562756113441,0.0
2022-06-12,Banthapchang,Train,1140.0,1294.0,2522.8571428571427,2470.8571428571427,793.059146296044,0.0
2022-06-13,Banthapchang,Train,2902.0,2864.0,2508.5714285714284,2477.285714285714,780.1245016631888,1.0
2022-06-14,Banthapchang,Train,2906.0,2948.0,2525.8571428571427,2477.285714285714,780.1245016631888,1.0
2022-06-15,Banthapchang,Train,2909.0,3019.0,2521.1428571428573,2476.5714285714284,779.6633583675412,1.0
2022-06-16,Banthapchang,Train,2844.0,2895.0,2530.0,2465.4285714285716,771.6689396243397,1.0
2022-06-17,Banthapchang,Train,2883.0,3081.0,2538.8571428571427,2460.4285714285716,768.650084486402,1.0
