Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,day_cos,Passenger_Arrival_Lag7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2022-01-09,Huamak,Train,1480.0,-340.0,0.6234898018587334,1313.0,649.547388204902,2238.285714285714,593.1291917409209,0.0
2022-01-10,Huamak,Train,2575.0,1095.0,1.0,1408.0,617.4017754922256,2243.4285714285716,585.1973619053254,1.0
2022-01-11,Huamak,Train,2565.0,-10.0,0.6234898018587336,2599.0,514.3684986281261,2384.714285714286,515.2234836410682,1.0
2022-01-12,Huamak,Train,2491.0,-74.0,-0.22252093395631434,2753.0,513.7979035713223,2356.8571428571427,496.48142918321685,1.0
2022-01-13,Huamak,Train,2462.0,-29.0,-0.900968867902419,2730.0,495.5121929209548,2324.5714285714284,476.08782703154577,1.0
2022-01-14,Huamak,Train,2647.0,185.0,-0.9009688679024191,2681.0,471.8342626691831,2288.0,449.9437001818486,1.0
2022-01-15,Huamak,Train,1803.0,-844.0,-0.2225209339563146,1824.0,475.72255820063083,2291.4285714285716,453.0028907718129,0.0
2022-01-16,Huamak,Train,1499.0,-304.0,0.6234898018587334,1464.0,477.6345983320406,2289.0,455.9872074228983,0.0
2022-01-17,Huamak,Train,2625.0,1126.0,1.0,2578.0,476.4479185048658,2291.714285714286,450.3912056148944,1.0
2022-01-18,Huamak,Train,2676.0,51.0,0.6234898018587336,2591.0,477.66575283201075,2298.8571428571427,455.9943086528707,1.0
2022-01-19,Huamak,Train,2657.0,-19.0,-0.22252093395631434,2568.0,489.82581938208756,2314.714285714286,468.5490775737779,1.0
2022-01-20,Huamak,Train,2653.0,-4.0,-0.900968867902419,2480.0,495.410267690662,2338.4285714285716,482.93818001301764,1.0
2022-01-21,Huamak,Train,2803.0,150.0,-0.9009688679024191,2710.0,514.8251205622204,2365.714285714286,496.29450741997766,1.0
2022-01-22,Huamak,Train,1831.0,-972.0,-0.2225209339563146,1813.0,521.0188279204688,2388.0,514.2097496806794,0.0
2022-01-23,Huamak,Train,1550.0,-281.0,0.6234898018587334,1468.0,513.3559055024942,2392.0,508.9829728651705,0.0
2022-01-24,Huamak,Train,2725.0,1175.0,1.0,2591.0,506.79177653342487,2399.285714285714,494.2208393979743,1.0
2022-01-25,Huamak,Train,2776.0,51.0,0.6234898018587336,2701.0,524.4936787489618,2413.5714285714284,503.19640206148074,1.0
