Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-08,Makkasan,Train,-1.993732137072758,-2.325059193201373,-2.3859136856098284,-2.45106243462901,-1.3644486034561287,-2.405771929746596,-1.2638083903751063,0.0
2022-01-09,Makkasan,Train,-2.1718588052466203,-2.2707699564155086,-2.3029121317914,-2.380209188118389,-1.647193157151031,-2.32168597212682,-1.6542566088530661,0.0
2022-01-10,Makkasan,Train,-1.4963745380931903,-2.2130228064585693,-2.0906885510478106,-2.353564655754245,-1.7992107042170047,-2.290690556216643,-1.8606444141070484,1.0
2022-01-11,Makkasan,Train,-1.559592041896071,-1.4716462225802636,-1.4549942976854935,-2.209803484864127,-2.105616024140499,-2.177102937670314,-2.0840669058231978,1.0
2022-01-12,Makkasan,Train,-1.6214124737917053,-1.4878984144843121,-1.4032403876575323,-2.220143154139765,-2.1298028321774147,-2.191916007924575,-2.1147563267776737,1.0
2022-01-13,Makkasan,Train,-1.6514495197974939,-1.4896273710698493,-1.4514138385011692,-2.2390992144784345,-2.1663297795297605,-2.2256499746380602,-2.198660201997547,1.0
2022-01-14,Makkasan,Train,-1.4803082111598616,-1.4706088486289413,-1.4331860462900634,-2.263423949248685,-2.214804501960196,-2.25944618114253,-2.2736907925488103,1.0
2022-01-15,Makkasan,Train,-1.9071136788235077,-1.9554082752135424,-1.9461681985168997,-2.258916913923407,-2.1977877582080425,-2.254155798908865,-2.249415002544172,0.0
2022-01-16,Makkasan,Train,-2.161031497965464,-2.131761846938326,-2.1408149796283515,-2.242479490972393,-2.2684913359847165,-2.2444463915153157,-2.2926187431891787,0.0
2022-01-17,Makkasan,Train,-1.4775140673453697,-1.4630014396525781,-1.4966578227394498,-2.240424813103516,-2.2859142226535027,-2.2378489736709812,-2.348584243930893,1.0
2022-01-18,Makkasan,Train,-1.4803082111598616,-1.5255896680490209,-1.5324624145826935,-2.2368456968157955,-2.272401603267906,-2.2295710814700707,-2.3198583939983144,1.0
2022-01-19,Makkasan,Train,-1.4768155313917468,-1.586794731177034,-1.5796593765578784,-2.2218001524211175,-2.227513261807268,-2.2124551389493905,-2.269064287144398,1.0
2022-01-20,Makkasan,Train,-1.4764662634149353,-1.616532784448272,-1.6281583236909993,-2.1943602608819246,-2.1698240573378618,-2.188243860256502,-2.218467888979993,1.0
2022-01-21,Makkasan,Train,-1.307420562638172,-1.4470950390656367,-1.4055188616839205,-2.1611540153236266,-2.123113126359361,-2.156563806645498,-2.181114357802174,1.0
2022-01-22,Makkasan,Train,-1.884760528307572,-1.8696520285709026,-1.8953907773573906,-2.1283454493528526,-2.005437800378047,-2.1410038588994253,-2.121559581909111,0.0
2022-01-23,Makkasan,Train,-2.1453144390089465,-2.1210423161079963,-2.106312372943044,-2.124103533752591,-2.0236312506488026,-2.1472278379978547,-2.089836553082277,0.0
2022-01-24,Makkasan,Train,-1.4188370472410388,-1.4443287085287775,-1.4533668162380735,-2.121120936846157,-2.0484267906549025,-2.150775506083959,-2.060929566939162,1.0
2022-01-25,Makkasan,Train,-1.4237267989163995,-1.4470950390656367,-1.4429509349745844,-2.10998590839547,-2.0221890183896467,-2.1383897876780855,-2.027932321247849,1.0
2022-01-26,Makkasan,Train,-1.399976576493218,-1.4436371258945626,-1.4530413199485894,-2.099248559532308,-1.9992312572810873,-2.133846282936232,-2.0171218854598907,1.0
2022-01-27,Makkasan,Train,-1.435951178104802,-1.4432913345774552,-1.4624807123436263,-2.0846669746564084,-1.9677075942248732,-2.1278712630017402,-2.003934760036637,1.0
2022-01-28,Makkasan,Train,-1.2096255291309537,-1.2759283370974643,-1.3241447893129121,-2.076978502630934,-1.9542463349203958,-2.1261285488541803,-2.0007199893701957,1.0
2022-01-29,Makkasan,Train,-1.847388854788742,-1.8475213842760279,-1.9279404063057939,-2.0584201218797893,-1.8734280919739184,-2.0992409591489674,-1.877573576497415,0.0
2022-01-30,Makkasan,Train,-2.0978139941625833,-2.1054817068381624,-2.124865661443634,-2.051328169235602,-1.9039304657222265,-2.0877888376078575,-1.9333089777237509,0.0
2022-01-31,Makkasan,Train,-1.4122009556816202,-1.386235767254731,-1.3885930546307508,-2.0423140985850456,-1.9778007821377384,-2.07795495063234,-2.01345706841549,1.0
2022-02-01,Makkasan,Train,-1.377972693954094,-1.3910768456942348,-1.41918970584225,-2.041054779891218,-1.975366804351987,-2.0689301809396174,-1.9896411737246602,1.0
2022-02-02,Makkasan,Train,-1.3053249547773031,-1.3675630361309303,-1.4217936761581222,-2.0323721088969324,-1.9573077106023316,-2.0436608257999955,-1.9250064352256686,1.0
2022-02-03,Makkasan,Train,-1.3367590726903376,-1.4031795417929946,-1.4533668162380735,-2.014410247527074,-1.9108757604962054,-2.0093044611766677,-1.8412820661990552,1.0
2022-02-04,Makkasan,Train,-1.0915729529686686,-1.1791067683073873,-1.1835303922558098,-1.9955867470509132,-1.8758870595203632,-1.9744501782254653,-1.7859414256859198,1.0
2022-02-05,Makkasan,Train,-1.8337674036930938,-1.810521713345534,-1.8680490890407317,-1.9731841302870312,-1.769824887020028,-1.9532886492908068,-1.694936656299467,0.0
2022-02-06,Makkasan,Train,-1.9161946462206065,-2.0584540877115534,-2.0734372477051566,-1.9705992129681218,-1.7814912668568772,-1.9361727067701269,-1.7791438576494856,0.0
2022-02-07,Makkasan,Train,-1.0611866389860687,-1.3796657322296901,-1.341396092655566,-1.936133648715996,-2.037117553262184,-1.9133307034788922,-1.9653515943760118,1.0
2022-02-08,Makkasan,Train,-1.2340742875077582,-1.345778183153163,-1.2870382123117323,-1.869522317805637,-1.840360259922466,-1.8700740487448109,-1.8564541117413174,1.0
2022-02-09,Makkasan,Train,-1.2071806532932732,-1.27385358919482,-1.2421197243629358,-1.8422149861289525,-1.8033469800179676,-1.8549497795356282,-1.8283097495693361,1.0
2022-02-10,Makkasan,Train,-1.2061328493628387,-1.3049748077344876,-1.2710888941270149,-1.8235903254465538,-1.7706525526817396,-1.8492859585560577,-1.8169267144485775,1.0
2022-02-11,Makkasan,Train,-1.0772529659193972,-1.0622293031250796,-1.0728616538312385,-1.7988016311575246,-1.7379958396393895,-1.826506195055808,-1.7702737285597634,1.0
2022-02-12,Makkasan,Train,-1.7199060432525466,-1.7970358519783447,-1.7785376094326226,-1.7960841539761068,-1.7283381475907875,-1.8164233489163526,-1.7299509976009424,0.0
2022-02-13,Makkasan,Train,-1.9853497056292824,-1.8786426028156955,-1.9539801094645164,-1.7744768963872741,-1.8483324264069738,-1.8144316756048553,-1.7409470174598698,0.0
2022-02-14,Makkasan,Train,-1.1090363518092432,-1.0321454585367342,-1.1151761714641628,-1.7876003227755832,-1.744445676176124,-1.8291825060681322,-1.6217635012145266,1.0
2022-02-15,Makkasan,Train,-1.0894773451077997,-1.2033121605049064,-1.2079426139671123,-1.796680673357394,-1.7766523541993826,-1.8326679343632524,-1.6318376453441323,1.0
2022-02-16,Makkasan,Train,-1.9549633916466822,-1.1766862290876352,-1.2124995620198888,-1.7692407818182008,-1.7096365652572902,-1.8120665635474522,-1.5819355990112578,0.0
2022-02-17,Makkasan,Train,-1.2690010851889078,-1.175648855136313,-1.1519572521758585,-1.9111461146332045,-1.4033349672515723,-1.9465667518645033,-1.3248368830519004,1.0
2022-02-18,Makkasan,Train,-1.1397719337686547,-1.0480518591236754,-1.0201312549348251,-1.9230765022589402,-1.431344617185652,-1.953973286991634,-1.3469555445537649,1.0
2022-02-19,Makkasan,Train,-1.7768367234728202,-1.684307882601326,-1.7681217281691335,-1.9349406099534225,-1.4778141063316286,-1.9762551321640096,-1.4407742099230572,0.0
2022-02-20,Makkasan,Train,-2.027611130823473,-1.9471092836029644,-2.0311227300722323,-1.9457442387478388,-1.4445192790009158,-1.966421245188492,-1.4718156387465542,0.0
2022-02-21,Makkasan,Train,-1.2215006403425444,-1.0795188689804505,-1.1334039636752686,-1.9537641104295835,-1.3983158017848802,-1.9583923121515183,-1.5231158335373955,1.0
2022-02-22,Makkasan,Train,-1.314405922174402,-1.0601545552224352,-1.1002033421478974,-1.9751062482934,-1.474144466578145,-1.9678527603811304,-1.556595001406282,1.0
2022-02-23,Makkasan,Train,-1.3234868895715008,-1.917025439014619,-1.9158970435948846,-2.017790524021033,-1.6281863665117553,-2.0093044611766677,-1.6933419393262303,1.0
2022-02-24,Makkasan,Train,-1.3531746676004777,-1.2378912922156484,-1.1906913106244585,-1.8979564083136409,-1.8670404022803107,-1.895467883466401,-1.9532863982387565,1.0
2022-02-25,Makkasan,Train,-1.2155630847367491,-1.1099485048859035,-1.136658926570109,-1.9139298717458761,-1.896684292752689,-1.9351768701143781,-2.0291737034790467,1.0
2022-02-26,Makkasan,Train,-1.852977142417726,-1.7406718672898354,-1.7166933144306562,-1.9283126168280134,-1.9537156814103,-1.937915420917687,-2.0415413270170446,0.0
2022-02-27,Makkasan,Train,-2.0349457583365145,-1.9889500329729621,-1.9891337087287921,-1.9427616418414047,-1.8825513188507559,-1.9636204545941989,-1.9139779734555498,0.0
2022-02-28,Makkasan,Train,-1.4066126680526363,-1.1908636730890394,-1.1828793996768419,-1.9441535203977405,-1.8718125516429946,-1.9809231164878314,-1.7784532404796558,1.0
2022-03-01,Makkasan,Train,-1.4397931258497283,-1.2828441634396128,-1.3169838709442634,-1.9792818839624076,-1.9576722762160201,-2.006814869537296,-1.859389538481113,1.0
2022-03-02,Makkasan,Train,-1.4949774661859445,-1.2918347376844057,-1.3205643301285879,-2.003076379282625,-2.003922983599219,-2.0279141586809706,-1.8967769505230148,1.0
2022-03-03,Makkasan,Train,-1.4401423938265399,-1.3212269996385364,-1.3983579433152717,-2.035619825528383,-2.063943559833987,-2.0587228552181944,-1.9485126185986952,1.0
2022-03-04,Makkasan,Train,-1.3472371119946824,-1.1849852206982132,-1.1509807633074065,-2.0521235284106507,-2.1034579326543823,-2.0716687317429265,-1.9679040364574567,1.0
2022-03-05,Makkasan,Train,-1.9783643460930525,-1.8160543744192528,-1.851123281987562,-2.077111062493442,-2.2209331414301676,-2.1116266775548405,-2.15382382769455,0.0
2022-03-06,Makkasan,Train,-2.142520295194455,-1.9962116506322178,-2.0796216772053535,-2.1009055578136597,-2.089969129392824,-2.134655400219028,-2.031784616454283,0.0
2022-03-07,Makkasan,Train,-1.422678994985965,-1.3741330711559714,-1.3182858561021995,-2.121319776639919,-1.9396935784299134,-2.1448627259404516,-1.9530490391606488,1.0
2022-03-08,Makkasan,Train,-1.4254731388004571,-1.4069832462811762,-1.4273271130793508,-2.124368653477607,-1.9481873780466394,-2.163098984698849,-2.0167640727551523,1.0
2022-03-09,Makkasan,Train,-1.4335063022671215,-1.4616182743841484,-1.4816849934231844,-2.1216511762961896,-1.9413119289755656,-2.16297450511688,-2.0164233157105924,1.0
