Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-08,Suvarnabhumi,Train,-2.2916808622712317,-0.9749279121818236,-2.3355886046935943,-2.229879282926073,-2.047495067498402,-2.235614359651398,-1.651919062220136,0.0
2022-01-09,Suvarnabhumi,Train,-2.352780602323108,-0.7818314824680299,-2.1869156409155934,-2.3032879075401764,-2.022457924593093,-2.2362686648875494,-1.6447067330239635,0.0
2022-01-10,Suvarnabhumi,Train,-2.1755913561726663,0.0,-1.705894490044113,-2.205008601362825,-2.0298916330020917,-2.234960054415246,-1.6703480130601718,1.0
2022-01-11,Suvarnabhumi,Train,-2.2533916918387225,0.7818314824680298,-1.8015442289782115,-2.0429480311764987,-2.0939041220795835,-2.222349808045779,-1.7118226312399054,1.0
2022-01-12,Suvarnabhumi,Train,-2.2273224694165883,0.9749279121818236,-1.789761290124011,-2.1127463955636787,-2.1448043754912014,-2.2451315267226937,-1.7814507057286697,1.0
2022-01-13,Suvarnabhumi,Train,-2.210214542202063,0.43388373911755823,-1.885757586083233,-2.0365297907730797,-2.2175411473542543,-2.2537564593810555,-1.800399887313282,1.0
2022-01-14,Suvarnabhumi,Train,-2.0937177045031516,-0.433883739117558,-1.976208969640478,-2.0770449333196614,-2.271951763070122,-2.2711847715803666,-2.0078120712012932,1.0
2022-01-15,Suvarnabhumi,Train,-2.217953842608634,-0.9749279121818236,-2.1675084475086748,-2.2342918232034235,-2.282740964858183,-2.26559343592598,-1.8973164015827428,0.0
2022-01-16,Suvarnabhumi,Train,-2.4244709639839765,-0.7818314824680299,-2.236819852533384,-2.2944628269854754,-2.289968181366932,-2.2548271406765767,-1.9506872922437233,0.0
2022-01-17,Suvarnabhumi,Train,-2.331599359105124,0.0,-2.1356252011973087,-2.119966916017525,-2.2885227380651822,-2.265296024455002,-1.700295919843774,1.0
2022-01-18,Suvarnabhumi,Train,-2.3250820534995906,0.7818314824680298,-2.1432494557500266,-2.196584660833338,-2.2988989560527435,-2.2880777431319173,-1.6612287642372972,1.0
2022-01-19,Suvarnabhumi,Train,-2.32223073229717,0.9749279121818236,-2.278060138523086,-2.1709116992196624,-2.307416746938055,-2.2985466269103423,-1.6189888033748323,1.0
2022-01-20,Suvarnabhumi,Train,-2.1755913561726663,0.43388373911755823,-2.2510286905634493,-2.154063818160688,-2.301118743980431,-2.312406001457917,-1.6081435859578113,1.0
2022-01-21,Suvarnabhumi,Train,-2.074980450887243,-0.433883739117558,-2.0486393878912987,-2.0393377709495755,-2.3048872211599924,-2.307350006451291,-1.5609018012452036,1.0
2022-01-22,Suvarnabhumi,Train,-2.2647969766484057,-0.9749279121818236,-2.216026431025971,-2.1616854786397477,-2.3200643758283657,-2.3046138209182936,-1.5040748179266548,0.0
2022-01-23,Suvarnabhumi,Train,-2.411029021172564,-0.7818314824680299,-2.2271162558299245,-2.365063471423083,-2.3317827911675515,-2.3114542847507877,-1.5264196343993495,0.0
