Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,day_sin,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2022-01-08,Suvarnabhumi,Train,3332.0,-0.9749279121818236,3729.0,3343.0,4828.571428571428,3557.285714285714,256.8428276110472,0.0
2022-01-09,Suvarnabhumi,Train,3182.0,-0.7818314824680299,4158.0,3160.0,4897.857142857143,3555.714285714286,258.40131210045763,0.0
2022-01-10,Suvarnabhumi,Train,3617.0,0.0,5546.0,3405.0,4877.285714285715,3558.8571428571427,252.86058647103587,1.0
2022-01-11,Suvarnabhumi,Train,3426.0,0.7818314824680298,5270.0,3809.0,4700.142857142857,3589.1428571428573,243.89849567079372,1.0
2022-01-12,Suvarnabhumi,Train,3490.0,0.9749279121818236,5304.0,3635.0,4559.285714285715,3534.4285714285716,228.8528327279762,1.0
2022-01-13,Suvarnabhumi,Train,3532.0,0.43388373911755823,5027.0,3825.0,4358.0,3513.714285714286,224.7581769263092,1.0
2022-01-14,Suvarnabhumi,Train,3818.0,-0.433883739117558,4766.0,3724.0,4207.428571428572,3471.8571428571427,179.93927547131807,1.0
2022-01-15,Suvarnabhumi,Train,3513.0,-0.9749279121818236,4214.0,3332.0,4177.571428571428,3485.285714285714,203.81585993711286,0.0
2022-01-16,Suvarnabhumi,Train,3006.0,-0.7818314824680299,4014.0,3182.0,4157.571428571428,3511.1428571428573,192.2831493496234,0.0
2022-01-17,Suvarnabhumi,Train,3234.0,0.0,4306.0,3617.0,4161.571428571428,3486.0,246.38925842387425,1.0
2022-01-18,Suvarnabhumi,Train,3250.0,0.7818314824680298,4284.0,3426.0,4132.857142857143,3431.285714285714,254.83112989174757,1.0
2022-01-19,Suvarnabhumi,Train,3257.0,0.9749279121818236,3895.0,3490.0,4109.285714285715,3406.1428571428573,263.95860065006934,1.0
2022-01-20,Suvarnabhumi,Train,3617.0,0.43388373911755823,3973.0,3532.0,4126.714285714285,3372.8571428571427,266.3021019890932,1.0
2022-01-21,Suvarnabhumi,Train,3864.0,-0.433883739117558,4557.0,3818.0,4116.285714285715,3385.0,276.51039763451917,1.0
2022-01-22,Suvarnabhumi,Train,3398.0,-0.9749279121818236,4074.0,3513.0,4074.285714285714,3391.5714285714284,288.7899219980138,0.0
2022-01-23,Suvarnabhumi,Train,3039.0,-0.7818314824680299,4042.0,3006.0,4041.8571428571427,3375.1428571428573,283.96151650733015,0.0
2022-01-24,Suvarnabhumi,Train,3661.0,0.0,4105.0,3234.0,4003.8571428571427,3379.8571428571427,277.00025786475857,1.0
2022-01-25,Suvarnabhumi,Train,3615.0,0.7818314824680298,4119.0,3250.0,4034.1428571428573,3440.8571428571427,286.38402456109424,1.0
2022-01-26,Suvarnabhumi,Train,3727.0,0.9749279121818236,4017.0,3257.0,4037.1428571428573,3493.0,278.97490926604837,1.0
2022-01-27,Suvarnabhumi,Train,3799.0,0.43388373911755823,3900.0,3617.0,4050.285714285714,3560.1428571428573,269.09256683121043,1.0
2022-01-28,Suvarnabhumi,Train,4138.0,-0.433883739117558,4263.0,3864.0,4104.428571428572,3586.1428571428573,283.88755319165153,1.0
2022-01-29,Suvarnabhumi,Train,3578.0,-0.9749279121818236,3847.0,3398.0,4184.857142857143,3625.285714285714,341.60635936982305,0.0
2022-01-30,Suvarnabhumi,Train,3393.0,-0.7818314824680299,3776.0,3039.0,4209.714285714285,3651.0,328.1559588569637,0.0
2022-01-31,Suvarnabhumi,Train,3571.0,0.0,4317.0,3661.0,4264.428571428572,3701.5714285714284,231.0251480848329,1.0
2022-02-01,Suvarnabhumi,Train,3383.0,0.7818314824680298,4140.0,3615.0,4280.142857142857,3688.714285714286,236.10782444024315,1.0
2022-02-02,Suvarnabhumi,Train,3711.0,0.9749279121818236,4109.0,3727.0,4356.0,3655.5714285714284,262.93843204754023,1.0
2022-02-03,Suvarnabhumi,Train,3925.0,0.43388373911755823,4279.0,3799.0,4410.142857142857,3653.285714285714,262.2827445625006,1.0
2022-02-04,Suvarnabhumi,Train,4264.0,-0.433883739117558,4826.0,4138.0,4452.857142857143,3671.285714285714,277.81331518708384,1.0
2022-02-05,Suvarnabhumi,Train,3367.0,-0.9749279121818236,4021.0,3578.0,4504.285714285715,3689.285714285714,314.7224778995584,0.0
2022-02-06,Suvarnabhumi,Train,3806.0,-0.7818314824680299,4159.0,3393.0,4558.285714285715,3659.1428571428573,336.50776542373586,0.0
2022-02-07,Suvarnabhumi,Train,4261.0,0.0,4427.0,3571.0,4598.285714285715,3718.1428571428573,317.75065096782436,1.0
2022-02-08,Suvarnabhumi,Train,3743.0,0.7818314824680298,4671.0,3383.0,4622.714285714285,3816.714285714286,367.609717991656,1.0
2022-02-09,Suvarnabhumi,Train,3984.0,0.9749279121818236,4488.0,3711.0,4610.0,3868.1428571428573,318.7561390631972,1.0
2022-02-10,Suvarnabhumi,Train,4339.0,0.43388373911755823,4578.0,3925.0,4602.571428571428,3907.1428571428573,312.97360302504165,1.0
2022-02-11,Suvarnabhumi,Train,4771.0,-0.433883739117558,5186.0,4264.0,4621.0,3966.285714285714,353.4146357494338,1.0
2022-02-12,Suvarnabhumi,Train,4187.0,-0.9749279121818236,4399.0,3367.0,4679.571428571428,4038.714285714286,460.36605517990245,0.0
2022-02-13,Suvarnabhumi,Train,4086.0,-0.7818314824680299,4439.0,3806.0,4674.428571428572,4155.857142857143,352.69270315267795,0.0
2022-02-14,Suvarnabhumi,Train,4225.0,0.0,4598.0,4261.0,4668.857142857143,4195.857142857143,320.8407853185278,1.0
2022-02-15,Suvarnabhumi,Train,4430.0,0.7818314824680298,4582.0,3743.0,4683.571428571428,4190.714285714285,319.90973429271924,1.0
2022-02-16,Suvarnabhumi,Train,3870.0,0.9749279121818236,4436.0,3984.0,4715.285714285715,4288.857142857143,259.3064008539121,0.0
2022-02-17,Suvarnabhumi,Train,4122.0,0.43388373911755823,4707.0,4339.0,4749.0,4272.571428571428,284.04392685102886,1.0
2022-02-18,Suvarnabhumi,Train,4442.0,-0.433883739117558,5596.0,4771.0,4809.714285714285,4241.571428571428,287.4072935416786,1.0
2022-02-19,Suvarnabhumi,Train,3787.0,-0.9749279121818236,4363.0,4187.0,4739.0,4194.571428571428,200.01321384920033,0.0
2022-02-20,Suvarnabhumi,Train,3756.0,-0.7818314824680299,4400.0,4086.0,4822.428571428572,4137.428571428572,252.72900977322053,0.0
2022-02-21,Suvarnabhumi,Train,4021.0,0.0,4701.0,4225.0,4848.428571428572,4090.285714285714,291.6954543616309,1.0
2022-02-22,Suvarnabhumi,Train,3894.0,0.7818314824680298,4804.0,4430.0,4899.285714285715,4061.1428571428573,286.1307559907004,1.0
2022-02-23,Suvarnabhumi,Train,4015.0,0.9749279121818236,4672.0,3870.0,4882.857142857143,3984.5714285714284,238.7689658385679,1.0
2022-02-24,Suvarnabhumi,Train,4207.0,0.43388373911755823,5132.0,4122.0,4843.857142857143,4005.285714285714,233.4021667178169,1.0
2022-02-25,Suvarnabhumi,Train,4430.0,-0.433883739117558,5101.0,4442.0,4732.857142857143,4017.4285714285716,242.51931685459454,1.0
2022-02-26,Suvarnabhumi,Train,3972.0,-0.9749279121818236,4947.0,3787.0,4718.285714285715,4015.714285714286,239.03536299448444,0.0
2022-02-27,Suvarnabhumi,Train,3762.0,-0.7818314824680299,4582.0,3756.0,4647.857142857143,4042.1428571428573,218.91355110440986,0.0
2022-02-28,Suvarnabhumi,Train,4092.0,0.0,5057.0,4021.0,4640.714285714285,4043.0,217.61433776293373,1.0
2022-03-01,Suvarnabhumi,Train,3874.0,0.7818314824680298,4689.0,3894.0,4648.857142857143,4053.1428571428573,218.07218114761088,1.0
2022-03-02,Suvarnabhumi,Train,3984.0,0.9749279121818236,4399.0,4015.0,4606.285714285715,4050.285714285714,220.62087713671082,1.0
